language,tokenizer_id,template_id,ascii_ratio,lsar,csbc,spr
Hindi,openai/tiktoken/cl100k_base,template-571,0.096386,0.666667,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-927,0.240741,0.500000,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-439,0.208791,0.333333,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-818,0.154639,0.333333,0.000000,1.071429
Hindi,openai/tiktoken/cl100k_base,template-360,0.082090,0.333333,0.000000,1.117647
Hindi,openai/tiktoken/cl100k_base,template-66,0.089888,0.666667,0.000000,1.076923
Hindi,openai/tiktoken/cl100k_base,template-611,0.156250,0.714286,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-578,0.204082,0.666667,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-688,0.151515,0.714286,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-34,0.096774,0.428571,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-817,0.098039,0.571429,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-297,0.257732,0.833333,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-134,0.185185,0.600000,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-260,0.090909,0.400000,0.000000,1.052632
Hindi,openai/tiktoken/cl100k_base,template-824,0.085938,0.333333,0.000000,1.055556
Hindi,openai/tiktoken/cl100k_base,template-751,0.085938,0.666667,0.000000,1.047619
Hindi,openai/tiktoken/cl100k_base,template-918,0.149533,0.428571,0.000000,1.062500
Hindi,openai/tiktoken/cl100k_base,template-988,0.161290,0.714286,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-466,0.141509,0.666667,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-849,0.086957,0.333333,0.000000,1.076923
Hindi,openai/tiktoken/cl100k_base,template-350,0.153846,0.600000,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-463,0.210000,0.428571,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-769,0.164948,0.666667,0.000000,1.062500
Hindi,openai/tiktoken/cl100k_base,template-17,0.168675,1.000000,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-56,0.091549,0.400000,0.000000,1.047619
Hindi,openai/tiktoken/cl100k_base,template-878,0.082090,0.333333,0.000000,1.050000
Hindi,openai/tiktoken/cl100k_base,template-293,0.257732,0.500000,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-178,0.250000,0.500000,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-872,0.336364,0.200000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-74,0.181818,1.000000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-702,0.310000,0.600000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-485,0.170213,0.666667,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-695,0.330097,0.333333,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-909,0.149123,0.333333,1.000000,1.062500
Hindi,openai/tiktoken/cl100k_base,template-992,0.175824,0.666667,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-902,0.321739,0.333333,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-563,0.171717,1.000000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-237,0.336283,0.333333,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-521,0.293651,0.333333,1.000000,1.062500
Hindi,openai/tiktoken/cl100k_base,template-657,0.166667,0.333333,1.000000,1.071429
Hindi,openai/tiktoken/cl100k_base,template-340,0.171717,0.333333,1.000000,1.071429
Hindi,openai/tiktoken/cl100k_base,template-353,0.318182,0.600000,1.000000,1.062500
Hindi,openai/tiktoken/cl100k_base,template-867,0.330357,0.600000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-157,0.177083,0.666667,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-334,0.342857,0.600000,1.000000,1.066667
